protein_id	source_proteome	AOBS17_30	AOBS82_9	Afum	Cimm	Ncra	Nirr	Scer	Spom	Ztri	gene_name	product_description	function_source	Best_Swissprot	Pfam_Names	Pfam_Accessions	Pfam_Evalues
AC1KRY_000001	AOBS17_30	1	1	1	1	1	1	1	1	1							
AC1KRY_000004	AOBS17_30	1	1	1	1	1	1	1	1	1							
AC1KRY_000009	AOBS17_30	1	0	1	1	1	1	1	1	1							
AC1KRY_000014	AOBS17_30	1	0	1	1	1	1	1	1	1							
AC1KRY_000020	AOBS17_30	1	1	1	1	1	1	1	1	1							
AC1KRY_000024	AOBS17_30	1	1	1	1	1	1	1	1	1							
AC1KRY_000025	AOBS17_30	1	1	1	1	1	1	0	1	0							
AC1KRY_000027	AOBS17_30	1	1	1	1	1	1	1	1	1							
AC1KRY_000028	AOBS17_30	1	1	1	1	1	1	1	0	1							
AC1KRY_000029	AOBS17_30	1	1	1	1	1	1	1	1	1							
AC1KRY_000030	AOBS17_30	1	1	0	0	0	1	0	0	0							
AC1KRY_000033	AOBS17_30	1	1	1	1	1	1	1	1	1							
AC1KRY_000035	AOBS17_30	1	1	1	1	1	1	1	1	1							
AC1KRY_000038	AOBS17_30	1	1	1	1	1	1	1	1	1							
AC1KRY_000040	AOBS17_30	1	1	1	1	1	1	1	1	1							
AC1KRY_000042	AOBS17_30	1	1	1	1	1	1	1	1	1							
AC1KRY_000048	AOBS17_30	1	1	1	1	1	1	1	1	1							
AC1KRY_000049	AOBS17_30	1	1	1	1	1	1	1	1	1							
AC1KRY_000051	AOBS17_30	1	1	1	1	1	1	1	1	1							
AC1KRY_000052	AOBS17_30	1	1	1	1	1	1	1	0	1							
AC1KRY_000053	AOBS17_30	1	1	1	1	1	1	1	1	1							
AC1KRY_000056	AOBS17_30	1	1	1	1	1	1	0	1	1							
AC1KRY_000057	AOBS17_30	1	1	1	1	1	1	1	1	1							
AC1KRY_000058	AOBS17_30	1	1	1	1	1	1	0	0	1							
AC1KRY_000064	AOBS17_30	1	0	0	0	0	1	0	0	0							
AC1KRY_000065	AOBS17_30	1	1	1	1	1	1	1	0	1							
AC1KRY_000067	AOBS17_30	1	1	1	1	1	1	1	1	1							
AC1KRY_000068	AOBS17_30	1	1	1	1	1	1	1	1	1							
AC1KRY_000073	AOBS17_30	1	1	1	1	1	1	1	1	1							
AC1KRY_000074	AOBS17_30	1	1	0	0	0	1	0	0	1							
AC1KRY_000075	AOBS17_30	1	1	1	1	1	1	1	1	1							
AC1KRY_000080	AOBS17_30	1	1	1	1	0	1	1	1	0							
